project_id,project_status,project_name,street_number,street_name,street_type,zip_code,block,lot,city_analysis_neighborhood,planning_neighborhood,lead_agency,program_area,project_area,project_type,housing_tenure,estimated_actual_construction_start_date,project_lead_sponsor,planning_case_number,planning_entitlements,entitlement_approval,building_permit_number,project_units,affordable_units,market_rate_units,affordable,sro_units,studio_units,_1bd_units,_2bd_units,_3bd_units,_4bd_units,_5_bd_units,mobility_units,manager_units,manager_unit_s_type,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,latitude,longitude,location,estimated_construction_completion,bedrooms_to_be_determined,project_owner,project_co_sponsor
1988-006a,(5) First Construction Document Issued,Throughline Scattered Sites - Bayside Elderly Housing,777,Broadway,,94133.0,160,31,Chinatown,Chinatown,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2022-12-31T00:00:00.000,Chinatown Community Development Center,2020-009365PRJ,,,202010015613,30,30,0,100.0,0,30,0,0,0,0,0,7,1,0,0,30,0,0,0,0,0,37.7972298,-122.4090525,"{
  ""location"": {
    ""latitude"": ""37.7972298"",
    ""longitude"": ""-122.4090525""
  }
}",2024-06-30T00:00:00.000,,,
2017-047,(2) Predevelopment Feasibility,772 Pacific Ave,772,Pacific,Ave,94133.0,161,15,Chinatown,Chinatown,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2026-02-01T00:00:00.000,Chinatown Community Development Center,Not Yet Available,,,,86,85,1,99.0,0,66,20,0,0,0,0,0,1,Studio,0,85,0,20,0,20,0,37.796959,-122.4080569,"{
  ""location"": {
    ""latitude"": ""37.796959"",
    ""longitude"": ""-122.4080569""
  }
}",2027-10-01T00:00:00.000,,,
2020-042,(5) First Construction Document Issued,Granada Hotel,1000,Sutter,St,94109.0,279,5,Nob Hill,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,202109138252,232,232,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,232,0,37.78831,-122.4173,"{
  ""location"": {
    ""latitude"": ""37.78831"",
    ""longitude"": ""-122.4173""
  }
}",,,,
2020-043,(5) First Construction Document Issued,Diva Hotel,440,Geary,St,94102.0,306,7,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,Episcopal Community Services,,,,202011068430,127,127,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,127,0,37.787189,-122.410606,"{
  ""location"": {
    ""latitude"": ""37.787189"",
    ""longitude"": ""-122.410606""
  }
}",,,,
1982-008,(4) Site Work Permit Issued,Yosemite Apartments,480,Eddy,St,94109.0,334,14,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2023-03-15T00:00:00.000,Tenderloin Neighborhood Development Corporation (TNDC),2016-006801PRJ,,,201912190012,32,32,0,100.0,0,31,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,37.7837883,-122.4155723,"{
  ""location"": {
    ""latitude"": ""37.7837883"",
    ""longitude"": ""-122.4155723""
  }
}",2024-02-15T00:00:00.000,,,
1998-010,(5) First Construction Document Issued,Ambassador Hotel,55,Mason,St,94102.0,340,1,Tenderloin,Downtown/Civic Center,MOHCD/SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2021-09-02T00:00:00.000,Tenderloin Neighborhood Development Corporation (TNDC),2020-000966PRJ,,,200006243578,134,134,0,100.0,134,0,0,0,0,0,0,14,1,0,0,0,0,62,0,0,0,37.7841707,-122.4094741,"{
  ""location"": {
    ""latitude"": ""37.7841707"",
    ""longitude"": ""-122.4094741""
  }
}",2023-05-16T00:00:00.000,,,
1990-001,(4) Site Work Permit Issued,San Cristina,1000,Market,St,94102.0,350,1,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2020-01-15T00:00:00.000,,2020-000113PRJ,,,201912270786,58,58,0,100.0,58,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,37.7819457,-122.4111789,"{
  ""location"": {
    ""latitude"": ""37.7819457"",
    ""longitude"": ""-122.4111789""
  }
}",,,,
2020-013,(5) First Construction Document Issued,Kelsey Civic Center,240,Van Ness,Ave,94102.0,811,19,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Mercy Housing CA,,,,,112,110,2,98.0,0,80,0,32,0,0,0,17,2,"Studio, 2bd",0,0,0,0,28,0,0,37.7780166,-122.4194284,"{
  ""location"": {
    ""latitude"": ""37.7780166"",
    ""longitude"": ""-122.4194284""
  }
}",,,,
2000-016,(2) Predevelopment Feasibility,Derek Silva Community,1580,Market,St,94102.0,836,10,Hayes Valley,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,Mercy Housing CA,,,,200208285175,68,68,0,100.0,0,34,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7746225,-122.4206858,"{
  ""location"": {
    ""latitude"": ""37.7746225"",
    ""longitude"": ""-122.4206858""
  }
}",,,,
2017-038,(5) First Construction Document Issued,78 Haight St (Parcel U),78,Haight,St,94102.0,853,21,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-03-15T00:00:00.000,Tenderloin Neighborhood Development Corporation (TNDC),2019-021893PRJ,,2020-04-01T00:00:00.000,,63,63,0,100.0,0,58,5,0,0,0,0,10,0,0,0,0,32,32,0,32,0,37.7731783,-122.4234201,"{
  ""location"": {
    ""latitude"": ""37.7731783"",
    ""longitude"": ""-122.4234201""
  }
}",,,,
2023-007,(2) Predevelopment Feasibility,650 Divisadero St,650,Divisadero,St,94117.0,1202,002B,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Jonathan Rose Companies,,,,,95,94,1,99.0,0,25,17,24,28,0,0,0,1,0,94,0,0,24,0,24,0,37.7757868,-122.4375671,"{
  ""location"": {
    ""latitude"": ""37.7757868"",
    ""longitude"": ""-122.4375671""
  }
}",,,,Young Community Developers
2017-045,(5) First Construction Document Issued,730 Stanyan,700-730,Stanyan,St,94117.0,1249,24,Haight Ashbury,Haight Ashbury,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-12-01T00:00:00.000,Chinatown Community Development Center,2021-001053PRJ,,,,160,159,1,99.0,0,35,43,42,40,0,0,32,1,1bd,127,0,20,12,0,32,0,37.7686903,-122.4530047,"{
  ""location"": {
    ""latitude"": ""37.7686903"",
    ""longitude"": ""-122.4530047""
  }
}",,,,Tenderloin Neighborhood Development Corporation (TNDC)
2020-028,(5) First Construction Document Issued,4200 Geary,4200,Geary,Blvd,94118.0,1438,017A,Inner Richmond,Inner Richmond,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2023-04-03T00:00:00.000,Tenderloin Neighborhood Development Corporation (TNDC),2020-006779PRJ,,,202009305561,98,97,1,99.0,0,41,57,0,0,0,0,49,1,1bd,0,97,0,20,0,20,0,37.7812315,-122.4645384,"{
  ""location"": {
    ""latitude"": ""37.7812315"",
    ""longitude"": ""-122.4645384""
  }
}",2024-02-04T00:00:00.000,,"4200 Geary Associates, L.P.",
2023-010,(2) Predevelopment Feasibility,1234 Great Highway,1234,Great Highway,0,94122.0,1701,6,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Tenderloin Neighborhood Development Corporation (TNDC),,,,,216,215,1,100.0,0,0,0,0,0,0,0,0,1,0,0,215,0,107,0,0,0,37.76309,-122.50951,"{
  ""location"": {
    ""latitude"": ""37.76309"",
    ""longitude"": ""-122.50951""
  }
}",,,,Self Help For The Elderly
2020-027,(4) Site Work Permit Issued,2550 Irving,2550,Irving,St,94122.0,1724,38,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2024-04-15T00:00:00.000,,2021-012100PRJ,,,,90,89,1,99.0,0,9,34,23,24,0,0,20,1,1bd,89,0,0,22,0,22,0,37.7634957,-122.4850023,"{
  ""location"": {
    ""latitude"": ""37.7634957"",
    ""longitude"": ""-122.4850023""
  }
}",2025-11-30T00:00:00.000,,,
2017-040,(5) First Construction Document Issued,Shirley Chisholm Village,1360,43rd,Ave,94122.0,1797,7,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-08-01T00:00:00.000,Mid-Pen Housing,2018-015768PRJ,,,201912099009,135,134,1,99.0,0,24,43,59,9,0,0,22,1,2bd,134,0,0,0,0,0,0,37.7616533,-122.5020449,"{
  ""location"": {
    ""latitude"": ""37.7616533"",
    ""longitude"": ""-122.5020449""
  }
}",,,,
2023-008,(2) Predevelopment Feasibility,250 Laguna Honda Blvd Family,250,Laguna Honda,Blvd,94116.0,2819,51,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Mission Housing Development Corporation,,,,,115,114,1,99.0,0,0,25,60,30,0,0,8,1,0,114,0,0,29,0,29,0,37.7500654,-122.4612092,"{
  ""location"": {
    ""latitude"": ""37.7500654"",
    ""longitude"": ""-122.4612092""
  }
}",,,,Northern California Presbyterian Homes & Services
2019-014,(2) Predevelopment Feasibility,Laguna Honda Hospital Senior Housing,375,Laguna Honda,Blvd,94131.0,2842,7,Twin Peaks,Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Mercy Housing CA,,,,,265,263,2,99.0,0,208,55,2,0,0,0,0,2,2bd,0,263,0,0,0,0,0,37.7490717,-122.4568765,"{
  ""location"": {
    ""latitude"": ""37.7490717"",
    ""longitude"": ""-122.4568765""
  }
}",,,,
1989-012,(2) Predevelopment Feasibility,El Dorado,150,9th,St,94103.0,3509,7,South of Market,South of Market,MOHCD/SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,"Conard House, Inc.",,,,202305026865,62,57,5,92.0,57,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,37.7754439,-122.4140797,"{
  ""location"": {
    ""latitude"": ""37.7754439"",
    ""longitude"": ""-122.4140797""
  }
}",2025-11-11T00:00:00.000,,,
2001-020,(2) Predevelopment Feasibility,Folsom + Dore Apartments,1346,Folsom,St,94103.0,3518,45,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-03-15T00:00:00.000,Tenderloin Neighborhood Development Corporation (TNDC),2020-009363PRJ,,,202010136358,98,98,0,100.0,0,33,57,8,0,0,0,0,0,0,0,0,0,42,0,0,0,37.773558,-122.412275,"{
  ""location"": {
    ""latitude"": ""37.773558"",
    ""longitude"": ""-122.412275""
  }
}",2025-03-01T00:00:00.000,,,
2020-017,(1) Preliminary Phase,1979 Mission,1979,Mission,St,94110.0,3553,52,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7656304,-122.4195169,"{
  ""location"": {
    ""latitude"": ""37.7656304"",
    ""longitude"": ""-122.4195169""
  }
}",,,,
2015-066,(1) Preliminary Phase,967 Mission (Land Dedication Site),967,Mission,St,94103.0,3725,86,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,The John Stewart Company (delete),,,,,95,94,1,99.0,0,30,64,0,0,0,0,45,1,1bd,0,95,0,24,0,24,0,37.7813102,-122.4077471,"{
  ""location"": {
    ""latitude"": ""37.7813102"",
    ""longitude"": ""-122.4077471""
  }
}",,,,
2019-028,(5) First Construction Document Issued,921 Howard,921,Howard,St,94103.0,3732,100,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,203,201,2,99.0,0,33,82,81,5,0,0,21,2,2 1BRs,201,0,0,0,0,0,0,37.7807862,-122.4050921,"{
  ""location"": {
    ""latitude"": ""37.7807862"",
    ""longitude"": ""-122.4050921""
  }
}",,,,
2015-001,(2) Predevelopment Feasibility,266 4th St (4th and Folsom),266,4th,St,94103.0,3733,93,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-09-15T00:00:00.000,Tenderloin Neighborhood Development Corporation (TNDC),2019-014414PRJ,,,201907236649,70,69,1,99.0,0,29,12,28,0,0,0,2,1,2bd,69,0,0,35,0,35,0,37.782192,-122.401729,"{
  ""location"": {
    ""latitude"": ""37.782192"",
    ""longitude"": ""-122.401729""
  }
}",,,,
2018-021,(7) On-Hold / Planning Approval Expired,Moscone Garage (Land Dedication Site),255,3rd,St,94103.0,3735,60,Financial District/South Beach,Financial District,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,Not Yet Available,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7847368,-122.3993836,"{
  ""location"": {
    ""latitude"": ""37.7847368"",
    ""longitude"": ""-122.3993836""
  }
}",,,,
2020-010,(2) Predevelopment Feasibility,725 Harrison (Land Dedication Site),725,Harrison,St,94107.0,3762,"108, 109, 117",South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2026-02-01T00:00:00.000,,,,,201911157380,144,144,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7818362,-122.3980566,"{
  ""location"": {
    ""latitude"": ""37.7818362"",
    ""longitude"": ""-122.3980566""
  }
}",,,,
2020-011,(3) Design with Entitlements Approved,160 Freelon (Land Dedication Site),160,Freelon,St,94107.0,3777,52,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2024-02-28T00:00:00.000,Related California,2022-008873PRJ,,2023-02-09T00:00:00.000,202209283327,85,84,1,99.0,0,15,24,23,23,0,0,13,1,2bd,0,0,0,22,0,22,0,37.7781638,-122.3980662,"{
  ""location"": {
    ""latitude"": ""37.7781638"",
    ""longitude"": ""-122.3980662""
  }
}",2025-12-30T00:00:00.000,,,San Francisco Housing Development Corporation
2020-016,(1) Preliminary Phase,71 Boardman,71,Boardman,Pl,94103.0,3779,84,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,100,99,1,99.0,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.7744359,-122.4022873,"{
  ""location"": {
    ""latitude"": ""37.7744359"",
    ""longitude"": ""-122.4022873""
  }
}",,,,
2011-003,(5) First Construction Document Issued,600 7th St (Land Dedication Site),600,7th,St,94103.0,3783,1,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-08-15T00:00:00.000,Mercy Housing CA,2020-009570PRJ,,,202010196871,221,220,1,100.0,0,100,23,83,15,0,0,34,1,2bd,100,0,0,120,0,120,0,37.7726254,-122.403159,"{
  ""location"": {
    ""latitude"": ""37.7726254"",
    ""longitude"": ""-122.403159""
  }
}",,,,
2018-049,(2) Predevelopment Feasibility,88 Bluxome St (Land Dedication Site),88,Bluxome,St,94107.0,3786,37,Mission Bay,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Jonathan Rose Companies,,,,,107,106,1,99.0,0,20,41,22,24,0,0,0,1,2bd,0,0,0,27,0,27,0,37.7759333,-122.3987914,"{
  ""location"": {
    ""latitude"": ""37.7759333"",
    ""longitude"": ""-122.3987914""
  }
}",,,,
2020-015,(1) Preliminary Phase,Potrero Yard Affordable Housing,2500,Mariposa,St,94110.0,3971,1,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7637807,-122.4089419,"{
  ""location"": {
    ""latitude"": ""37.7637807"",
    ""longitude"": ""-122.4089419""
  }
}",,,,
2023-009,(2) Predevelopment Feasibility,249 Pennsylvania Family,249,Pennsylvania,Ave,94107.0,3999,15,Potrero Hill,Potrero Hill,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Tenderloin Neighborhood Development Corporation (TNDC),,,,,120,119,1,99.0,0,0,0,0,0,0,0,0,1,0,59,0,0,60,0,60,0,37.7633284,-122.3933872,"{
  ""location"": {
    ""latitude"": ""37.7633284"",
    ""longitude"": ""-122.3933872""
  }
}",,,,Young Community Developers
2023-004,(2) Predevelopment Feasibility,2530 18th Homeless Prenatal Program Housing,2530,18th,St,94110.0,4014,002A,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Mercy Housing CA,,,,202201105662,73,73,0,100.0,0,0,37,30,6,0,0,12,1,2bd,72,0,0,36,0,36,0,37.76217,-122.40794,"{
  ""location"": {
    ""latitude"": ""37.76217"",
    ""longitude"": ""-122.40794""
  }
}",,,,
2019-013,(2) Predevelopment Feasibility,Pier 70 C2A,,,,94107.0,4113,2,Potrero Hill,Potrero Hill,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Young Community Developers,,,,,100,100,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.758483,-122.385555,"{
  ""location"": {
    ""latitude"": ""37.758483"",
    ""longitude"": ""-122.385555""
  }
}",,,,Chinatown Community Development Center
2016-002,(3) Design with Entitlements Approved,"HPSY II-CPN, Block 10A",625,Gilman,Ave,94124.0,5000,2,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,2023-07-01T00:00:00.000,,Not Applicable,,2017-12-05T00:00:00.000,201804287356,140,139,1,99.0,0,0,20,57,58,3,1,32,1,2bd,150,0,5,35,0,0,0,37.71485911,-122.3846434,"{
  ""location"": {
    ""latitude"": ""37.71485911"",
    ""longitude"": ""-122.3846434""
  }
}",,,,
2016-003,(3) Design with Entitlements Approved,"HPSY II-CPS, Block 11A",83,Harney,Way,94124.0,5000,6,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,2023-07-01T00:00:00.000,,Not Applicable,,2018-03-20T00:00:00.000,,176,175,1,99.0,0,2,45,56,68,3,1,18,1,2bd,170,0,5,38,0,0,0,37.71119086,-122.3854628,"{
  ""location"": {
    ""latitude"": ""37.71119086"",
    ""longitude"": ""-122.3854628""
  }
}",,,,
2016-079,(2) Predevelopment Feasibility,1515 South Van Ness,1515,South Van Ness,Ave,94110.0,6571,8,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2024-06-30T00:00:00.000,Chinatown Community Development Center,2014.102,"2014.1020CUA,2014.1020ENV,2014.1020U",2016-08-11T00:00:00.000,,122,122,0,100.0,0,6,36,44,36,0,0,27,1,2bd,86,0,0,31,0,31,0,37.7489588,-122.4154905,"{
  ""location"": {
    ""latitude"": ""37.7489588"",
    ""longitude"": ""-122.4154905""
  }
}",,,,
2023-006,(2) Predevelopment Feasibility,3300 Mission,3300,Mission,St,94110.0,6635,1,Bernal Heights,Bernal Heights,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Bernal Heights Neighborhood Center,,,,,36,35,1,97.0,35,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,37.74387,-122.42131,"{
  ""location"": {
    ""latitude"": ""37.74387"",
    ""longitude"": ""-122.42131""
  }
}",,,,Tabernacle Community Development Corporation
2016-068,(5) First Construction Document Issued,4840 Mission,4840,Mission,St,94112.0,6959,19,Outer Mission,Outer Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2021-06-24T00:00:00.000,BRIDGE Housing,2016-012545PRJ,,,201903195605,137,135,2,99.0,0,0,58,61,16,0,0,7,2,2bd; 2bd,135,0,0,0,0,0,35,37.7205856,-122.4383634,"{
  ""location"": {
    ""latitude"": ""37.7205856"",
    ""longitude"": ""-122.4383634""
  }
}",2024-01-26T00:00:00.000,,"4840 Mission Housing Associates, L.P.",
2010-005,(5) First Construction Document Issued,Kapuso at the Upper Yard,2340,San Jose,Ave,94112.0,6973,39,Outer Mission,Ocean View,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2021-07-06T00:00:00.000,Related California,2017-012151PRJ,"2017-012151ENV,2017-012151GPR,2017-012151PPA",,201807033677,131,130,1,99.0,0,7,47,61,15,0,0,13,1,2bd,130,0,0,0,0,0,39,37.7193462,-122.4477202,"{
  ""location"": {
    ""latitude"": ""37.7193462"",
    ""longitude"": ""-122.4477202""
  }
}",,,,
2016-094,(1) Preliminary Phase,Mission Bay South Block 12 West,,,,94158.0,8710,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,,Not Applicable,,,,145,144,1,99.0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,0,37.77104569,-122.3951074,"{
  ""location"": {
    ""latitude"": ""37.77104569"",
    ""longitude"": ""-122.3951074""
  }
}",,144.0,,
2017-036,(5) First Construction Document Issued,Maceo May Apartments (Treasure Island C3.2),1,Avenue of the Palms,0,94130.0,8901,5,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2020-08-10T00:00:00.000,Chinatown Community Development Center,2007.0903GEN-04,,,201810223762,105,104,1,99.0,0,24,47,34,0,0,0,14,1,2bd,104,0,0,24,0,0,0,37.8172234,-122.370686,"{
  ""location"": {
    ""latitude"": ""37.8172234"",
    ""longitude"": ""-122.370686""
  }
}",2022-12-02T00:00:00.000,,"Maceo May Apts, LP",
2017-037,(5) First Construction Document Issued,Star View Court (Treasure Island C3.1),78,Johnson,St,94130.0,8905,3,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-05-24T00:00:00.000,Mercy Housing CA,2007.0903PHA-02,,2020-03-26T00:00:00.000,201912139581,138,137,1,99.0,0,0,23,61,40,14,0,21,1,0,134,0,0,66,0,0,0,37.82160713,-122.3731947,"{
  ""location"": {
    ""latitude"": ""37.82160713"",
    ""longitude"": ""-122.3731947""
  }
}",,,,
2016-065,(5) First Construction Document Issued,"HPSY I, Block 52 & 54",151,Friedell,St,94124.0,4591C,"043, 044, 047, 048",Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,2023-05-24T00:00:00.000,Jonathan Rose Companies,Not Applicable,,,201910083908,112,110,2,98.0,0,0,49,31,23,8,1,18,2,2bd,110,0,0,0,0,0,0,37.7284177,-122.3696489,"{
  ""location"": {
    ""latitude"": ""37.7284177"",
    ""longitude"": ""-122.3696489""
  }
}",2025-05-01T00:00:00.000,,,
2016-095,(5) First Construction Document Issued,"HPSY I, Block 56",11,Innes,Ct,94124.0,4591C,"084, 085, 086, 087",Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,2021-06-01T00:00:00.000,,Not Applicable,,,202104269364,73,72,1,99.0,0,4,18,32,16,2,1,11,1,2bd,73,0,0,0,0,0,0,37.7273365,-122.3683576,"{
  ""location"": {
    ""latitude"": ""37.7273365"",
    ""longitude"": ""-122.3683576""
  }
}",,,,
2016-092,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 2)",996,Oakdale,Ave,94124.0,4591D,"094, 095, 096",Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,2023-12-31T00:00:00.000,,Not Applicable,,,,18,18,0,100.0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37.7282288,-122.3791714,"{
  ""location"": {
    ""latitude"": ""37.7282288"",
    ""longitude"": ""-122.3791714""
  }
}",,18.0,,
2016-091,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 1)",,,,94124.0,4591D,"123, 133, 134, 135",Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,2023-12-31T00:00:00.000,,Not Applicable,,,,18,18,0,100.0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37.7280824,-122.3737082,"{
  ""location"": {
    ""latitude"": ""37.7280824"",
    ""longitude"": ""-122.3737082""
  }
}",2025-06-23T00:00:00.000,18.0,,
2013-050,(5) First Construction Document Issued,Fulton 555,555,Fulton,St,94118.0,,,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,2014-07-28T00:00:00.000,"Fulton Street Ventures, LLC",2013.0063,"2013.0063C,2013.0063Q,2013.0063S,2013.0063T",2013-10-03T00:00:00.000,,139,17,122,12.0,0,3,6,8,0,0,0,0,0,0,17,0,0,0,0,0,0,37.7781581,-122.4261091,"{
  ""location"": {
    ""latitude"": ""37.7781581"",
    ""longitude"": ""-122.4261091""
  }
}",,,,
2018-005,(5) First Construction Document Issued,2525 Van Ness,,,,94123.0,,,Marina,Marina,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,2020-05-01T00:00:00.000,,2016-002728PRJ,,,,28,0,28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7990113,-122.424363,"{
  ""location"": {
    ""latitude"": ""37.7990113"",
    ""longitude"": ""-122.424363""
  }
}",,,,
2018-008,(4) Site Work Permit Issued,600 Van Ness,,,,94102.0,,,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,2019-06-03T00:00:00.000,,,,,,168,24,144,14.0,0,11,8,5,0,0,0,0,0,0,24,0,0,0,0,0,0,37.781355,-122.420092,"{
  ""location"": {
    ""latitude"": ""37.781355"",
    ""longitude"": ""-122.420092""
  }
}",,,,
2021-020,(3) Design with Entitlements Approved,474-484 Haight,474-484,Haight,St,94117.0,,,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,,,12,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7723453,-122.4299832,"{
  ""location"": {
    ""latitude"": ""37.7723453"",
    ""longitude"": ""-122.4299832""
  }
}",,,,
2019-002,(3) Design with Entitlements Approved,820 Post St,,,,94109.0,,,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,2021-02-19T00:00:00.000,,2016-015997PRJ,,,,12,1,11,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,37.7875904,-122.4154684,"{
  ""location"": {
    ""latitude"": ""37.7875904"",
    ""longitude"": ""-122.4154684""
  }
}",,,,
2011-034,(3) Design with Entitlements Approved,Parkmerced - Phase IC & 1D,3711,19th,Ave,94132.0,,,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,2013-02-08T00:00:00.000,Maximus,2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",2011-02-10T00:00:00.000,,545,27,518,5.0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,37.7205747,-122.4758473,"{
  ""location"": {
    ""latitude"": ""37.7205747"",
    ""longitude"": ""-122.4758473""
  }
}",,27.0,,
